date_participation,code_postal,empreinte_moyenne,logement_type,logement_superficie_m2,logement_nb_habitants,logement_type_chauffage,logement_isolation,logement_temperature_chauffage,transport_km_voiture,transport_km_voiture_electrique,transport_km_train,transport_km_bus,transport_km_metro,transport_km_tram,transport_km_velo,transport_km_velo_electrique,transport_km_trottinette,transport_km_moto,transport_nb_vols_avion,alimentation_repas_viande_semaine,alimentation_eau_bouteille,alimentation_petits_electromenager,alimentation_gros_electromenager,alimentation_freq_remplacement,vetements_neufs_an,divertissement_petits_electromenager,divertissement_gros_electromenager,divertissement_freq_remplacement,divertissement_appareils_numeriques,divertissement_heures_video_jour,divertissement_qualite_video,impact_logement,impact_transport,impact_alimentation,impact_vetements,impact_divertissement,impact_total
2025-06-18,1070,9.45,Appartement,108,4,Fioul,Très bien isolé,20,14246,53,7813,2157,2050,1560,365,0,54,0,0,10,Oui,3,5,5-10 ans,39,8,6,Moins de 5 ans,7,7,SD,1.09,3.16,0.92,0.78,6.57,10.57
2025-04-03,1160,8.26,Appartement,70,4,Gaz,Très bien isolé,23,15924,0,6230,4363,515,262,1351,0,281,0,1,9,Non,3,4,10-15 ans,30,7,4,Plus de 15 ans,10,7,SD,0.7,4.15,0.73,0.6,6.58,11.48
2025-06-15,1050,10.92,Maison,155,2,Gaz,Très bien isolé,19,2208,0,7042,2706,290,1052,487,0,248,0,0,14,Non,3,6,Plus de 15 ans,17,2,2,Plus de 15 ans,7,6,HD,2.45,0.79,1.03,0.34,5.62,10.09
2024-12-30,1180,8.66,Appartement,47,2,Fioul,Très bien isolé,19,6278,7350,1148,3456,751,570,947,308,226,0,3,1,Oui,7,3,Moins de 5 ans,20,3,5,Plus de 15 ans,9,3,HD,1.62,3.45,0.5,0.4,2.94,10.34
2025-06-20,1050,10.38,Studio,34,2,Bois,Mal isolé,19,6222,958,4744,4441,249,1531,642,2392,244,0,3,2,Oui,6,3,5-10 ans,9,6,2,5-10 ans,8,1,4K,0.99,3.25,0.53,0.18,1.13,5.46
2025-01-13,1030,9.48,Colocation,144,3,Bois,Moyennement isolé,20,6693,0,2573,1955,1087,810,268,0,153,0,4,14,Oui,2,6,Moins de 5 ans,9,6,3,10-15 ans,4,5,SD,1.29,3.56,1.12,0.18,4.67,12.45
2025-05-11,1020,11.08,Studio,39,6,Bois,Très bien isolé,23,18173,10868,848,1100,1083,236,1822,2266,79,0,2,11,Non,3,5,Plus de 15 ans,21,8,2,Moins de 5 ans,8,4,SD,0.18,5.29,0.86,0.42,3.79,8.45
2025-01-08,1200,11.24,Maison,174,2,Pompe à chaleur,Très bien isolé,18,2465,0,5660,1221,2234,73,1709,0,282,1044,0,5,Oui,4,4,5-10 ans,47,2,4,Plus de 15 ans,4,3,SD,2.24,0.81,0.68,0.94,2.84,8.95
2025-03-07,1030,11.37,Maison,174,5,Pompe à chaleur,Bien isolé,20,5216,0,885,3133,158,1758,963,1885,179,0,3,3,Oui,2,4,Plus de 15 ans,26,4,2,10-15 ans,7,8,HD,0.9,2.84,0.58,0.52,7.45,13.16
2025-03-28,1030,9.63,Appartement,73,1,Fioul,Très bien isolé,18,19548,0,5968,2569,1787,1241,1047,2361,97,0,2,0,Oui,4,6,Moins de 5 ans,47,4,6,10-15 ans,3,4,4K,3.86,5.23,0.58,0.94,3.85,13.35
2025-03-09,1000,10.53,Studio,37,1,Pompe à chaleur,Mal isolé,23,24514,0,5042,4662,1232,831,1122,0,155,0,1,9,Non,5,6,Plus de 15 ans,48,3,6,Plus de 15 ans,4,1,HD,1.84,5.87,0.85,0.96,1.07,10.66
2025-03-27,1070,8.49,Maison,166,2,Électrique,Bien isolé,18,1514,7784,5007,596,1865,848,1814,0,99,0,1,6,Oui,3,3,Moins de 5 ans,32,3,3,Plus de 15 ans,2,8,SD,2.36,1.33,0.66,0.64,7.37,14.43
2025-05-17,1050,8.6,Studio,34,3,Bois,Mal isolé,22,14611,0,6092,3888,1843,530,1539,2611,141,0,1,10,Oui,4,6,Moins de 5 ans,50,4,3,10-15 ans,7,5,4K,0.56,3.85,0.98,1.0,4.77,9.29
2025-03-14,1000,9.95,Maison,170,2,Pompe à chaleur,Mal isolé,20,17780,0,510,1694,1720,797,1853,0,484,0,3,12,Non,5,3,10-15 ans,24,8,5,Plus de 15 ans,10,8,4K,2.4,5.26,0.82,0.48,7.58,19.17
2025-04-12,1082,11.33,Colocation,63,2,Pompe à chaleur,Bien isolé,21,4182,0,4375,220,1613,1212,1155,0,42,0,0,7,Oui,2,5,Plus de 15 ans,25,3,5,10-15 ans,7,6,HD,1.08,0.93,0.79,0.5,5.66,9.86
2025-04-17,1030,11.72,Colocation,62,3,Gaz,Moyennement isolé,19,21303,10678,329,254,1012,408,1718,624,122,5484,0,3,Non,7,5,10-15 ans,15,6,6,Moins de 5 ans,4,4,SD,1.15,5.39,0.58,0.3,3.79,11.56
2025-01-24,1210,9.45,Colocation,110,5,Électrique,Très bien isolé,22,22630,0,1989,834,2855,1582,617,0,307,0,3,9,Oui,4,6,10-15 ans,9,6,4,Moins de 5 ans,8,7,SD,0.6,6.17,0.94,0.18,6.55,14.06
2025-02-23,1020,9.03,Maison,135,1,Bois,Moyennement isolé,22,17634,0,3808,3568,2994,1213,549,0,125,0,0,14,Non,3,6,Plus de 15 ans,26,2,5,10-15 ans,4,7,SD,3.5,3.9,1.03,0.52,6.5,14.56
2025-04-10,1190,10.98,Studio,37,1,Électrique,Très bien isolé,19,23595,0,4548,1968,2828,975,1322,0,229,0,0,3,Non,7,4,10-15 ans,47,6,4,Plus de 15 ans,10,8,HD,1.84,4.98,0.53,0.94,7.52,15.34
2025-03-28,1030,11.9,Colocation,94,2,Électrique,Très bien isolé,23,6310,0,6085,4389,2826,379,392,1983,141,0,5,8,Non,2,4,10-15 ans,19,4,3,10-15 ans,2,8,SD,1.29,4.23,0.68,0.38,7.37,12.69
2025-01-30,1082,9.66,Maison,161,4,Pompe à chaleur,Très bien isolé,18,18810,7843,3608,2791,755,1977,105,0,441,0,3,6,Non,2,3,5-10 ans,14,8,6,10-15 ans,3,3,SD,1.06,5.99,0.55,0.28,2.87,10.99
2025-01-19,1030,10.38,Maison,179,2,Pompe à chaleur,Mal isolé,20,19284,0,2501,4658,2543,123,1248,0,50,0,0,3,Non,7,3,5-10 ans,20,3,6,Moins de 5 ans,4,0,HD,2.49,4.28,0.48,0.4,0.16,7.66
2025-04-07,1140,10.8,Maison,116,3,Pompe à chaleur,Très bien isolé,23,7648,0,6453,4831,2708,1646,1912,470,278,0,0,4,Oui,2,3,5-10 ans,24,6,6,10-15 ans,9,1,HD,0.94,2.06,0.57,0.48,1.14,5.58
2025-04-12,1170,11.88,Colocation,116,1,Gaz,Mal isolé,23,10561,0,211,748,937,1969,1380,0,294,0,0,12,Non,6,3,5-10 ans,35,6,5,10-15 ans,4,6,4K,4.32,2.22,0.83,0.7,5.68,15.47
2025-02-20,1000,10.2,Colocation,102,2,Gaz,Bien isolé,20,13488,0,2361,3280,2253,75,931,1033,165,6328,1,8,Oui,7,6,Plus de 15 ans,8,3,6,10-15 ans,9,7,SD,1.97,4.16,0.93,0.16,6.58,12.16
2025-04-08,1020,8.76,Colocation,75,1,Bois,Bien isolé,23,5189,0,112,4524,1671,190,460,0,467,7758,0,13,Oui,5,5,10-15 ans,31,8,5,Plus de 15 ans,5,7,4K,2.0,2.23,1.06,0.62,6.61,10.74
2025-01-18,1150,9.89,Maison,190,1,Pompe à chaleur,Moyennement isolé,22,8754,0,2317,2445,2404,1187,1351,0,76,0,1,5,Non,5,5,5-10 ans,49,3,6,Plus de 15 ans,5,6,SD,4.8,2.5,0.64,0.98,5.62,13.49
2025-03-15,1050,8.27,Maison,143,5,Électrique,Moyennement isolé,18,14427,14916,3743,125,2959,295,839,0,496,0,1,4,Non,6,6,Moins de 5 ans,26,8,6,Plus de 15 ans,7,7,4K,0.89,4.26,0.66,0.52,6.65,10.57
2025-01-10,1070,9.84,Studio,27,3,Pompe à chaleur,Très bien isolé,23,23065,0,3634,1362,2842,613,1850,1328,407,2936,1,2,Oui,6,6,5-10 ans,15,3,2,Plus de 15 ans,5,7,4K,0.35,5.63,0.68,0.3,6.56,11.58
2025-04-16,1020,10.63,Studio,20,4,Pompe à chaleur,Moyennement isolé,23,17910,7237,7743,2830,2406,612,1308,0,353,0,3,3,Non,8,6,Moins de 5 ans,20,5,6,10-15 ans,6,4,SD,0.33,5.83,0.64,0.4,3.81,13.11
2025-04-11,1000,8.8,Appartement,117,3,Fioul,Bien isolé,22,11544,3115,5086,2053,2776,1547,1476,0,348,0,2,14,Oui,4,6,Moins de 5 ans,42,4,3,Moins de 5 ans,6,5,4K,1.51,3.76,1.14,0.84,4.76,11.6
2025-02-02,1000,10.55,Studio,25,2,Pompe à chaleur,Moyennement isolé,23,11099,0,3836,616,576,1544,1979,2770,370,0,1,13,Non,2,6,Moins de 5 ans,21,6,2,Plus de 15 ans,7,4,4K,0.7,2.87,0.98,0.42,3.85,8.41
2025-03-17,1030,9.96,Maison,140,1,Bois,Moyennement isolé,22,7253,0,5205,3803,2871,618,1329,0,71,304,1,7,Oui,2,4,5-10 ans,29,5,4,Plus de 15 ans,4,6,4K,3.6,2.38,0.74,0.58,5.66,10.89
2025-03-08,1080,10.22,Appartement,87,2,Pompe à chaleur,Bien isolé,20,3255,0,3009,4460,2641,734,124,0,97,0,4,13,Non,2,4,Moins de 5 ans,8,8,4,5-10 ans,4,3,SD,1.37,3.08,0.88,0.16,2.86,9.44
2025-01-21,1000,10.05,Maison,122,4,Bois,Très bien isolé,20,4741,0,4425,2053,714,225,1353,0,67,6471,3,9,Non,2,4,10-15 ans,8,3,5,Moins de 5 ans,3,7,HD,0.76,3.33,0.72,0.16,6.52,12.77
2025-05-24,1140,10.42,Maison,158,1,Bois,Moyennement isolé,21,21080,0,498,3923,1645,873,1405,2917,465,0,3,5,Oui,2,4,10-15 ans,44,7,6,10-15 ans,8,8,HD,4.06,6.1,0.66,0.88,7.52,18.86
2025-05-26,1000,10.25,Appartement,110,3,Électrique,Mal isolé,21,7487,0,6778,3715,1633,851,1494,1748,160,0,1,2,Non,2,3,Moins de 5 ans,10,5,2,10-15 ans,4,8,SD,1.23,2.42,0.39,0.2,7.39,12.03
2025-03-28,1030,11.05,Appartement,92,2,Pompe à chaleur,Très bien isolé,20,19674,0,848,4734,2078,435,316,0,114,0,1,8,Non,2,5,5-10 ans,32,8,6,Moins de 5 ans,6,0,SD,1.32,4.85,0.73,0.64,0.17,7.01
2025-03-26,1000,9.94,Appartement,63,4,Bois,Mal isolé,18,4648,0,7961,251,375,1528,1086,1719,232,0,1,11,Non,8,3,Moins de 5 ans,14,3,6,Moins de 5 ans,3,4,HD,0.66,1.6,0.81,0.28,3.79,7.61
2025-02-27,1190,10.81,Studio,26,4,Gaz,Moyennement isolé,21,3633,11116,4858,3986,2158,1366,631,1618,306,1674,1,3,Oui,8,5,10-15 ans,25,2,2,Plus de 15 ans,8,2,SD,0.63,2.39,0.69,0.5,1.96,5.87
2025-02-12,1200,11.48,Studio,22,2,Gaz,Mal isolé,18,15065,0,7062,2564,2358,879,1174,0,327,0,0,0,Non,3,6,10-15 ans,10,5,2,5-10 ans,8,6,4K,1.47,3.37,0.47,0.2,5.69,9.31
2025-03-26,1180,9.88,Studio,25,1,Gaz,Bien isolé,20,11504,0,6708,1209,967,210,299,0,88,0,3,10,Oui,3,6,Plus de 15 ans,41,8,6,Plus de 15 ans,7,5,SD,2.4,4.01,0.97,0.82,4.75,12.63
2025-01-10,1180,11.35,Studio,38,1,Bois,Très bien isolé,20,15130,0,466,3020,1175,157,1320,0,437,4866,1,7,Oui,5,4,10-15 ans,43,5,6,5-10 ans,2,7,SD,1.36,4.31,0.77,0.86,6.5,15.52
2025-05-30,1170,10.65,Maison,85,2,Pompe à chaleur,Mal isolé,22,17129,0,2981,3054,1158,793,837,0,347,0,3,10,Non,2,5,Moins de 5 ans,40,7,5,10-15 ans,6,2,HD,1.45,5.26,0.81,0.8,2.0,8.59
2025-03-23,1080,8.55,Colocation,76,3,Gaz,Moyennement isolé,22,12343,0,2690,1046,2744,1439,1697,0,350,0,0,10,Non,6,5,Moins de 5 ans,28,4,3,5-10 ans,7,7,SD,1.14,2.65,0.85,0.56,6.52,10.44
2025-06-01,1082,9.24,Appartement,104,4,Bois,Très bien isolé,23,11035,0,5062,1073,2446,771,315,2837,394,0,4,11,Non,2,6,10-15 ans,48,7,3,Plus de 15 ans,6,7,SD,0.6,4.42,0.9,0.96,6.52,13.58
2025-02-20,1200,8.37,Studio,38,6,Pompe à chaleur,Moyennement isolé,21,16479,0,7915,1327,817,1640,1238,1024,26,0,3,8,Oui,7,3,10-15 ans,10,8,3,10-15 ans,9,8,SD,0.31,5.03,0.78,0.2,7.47,15.61
2025-04-25,1140,8.6,Studio,20,2,Pompe à chaleur,Moyennement isolé,19,12653,0,3071,1839,115,652,1906,2927,332,0,0,0,Non,8,6,5-10 ans,50,5,5,Moins de 5 ans,3,0,HD,0.85,2.76,0.52,1.0,0.14,4.67
2025-01-16,1000,8.34,Colocation,74,4,Électrique,Moyennement isolé,18,1564,10468,6503,3744,257,227,1713,0,305,0,2,9,Oui,7,4,10-15 ans,32,2,6,10-15 ans,5,6,SD,0.77,2.26,0.87,0.64,5.62,10.83
2025-03-20,1060,11.77,Appartement,89,4,Gaz,Mal isolé,20,8311,0,2925,553,1412,493,1501,0,53,0,2,5,Oui,2,5,10-15 ans,46,3,5,Plus de 15 ans,4,2,SD,1.02,2.76,0.71,0.92,1.95,7.99
2025-06-11,1082,9.47,Maison,85,4,Gaz,Moyennement isolé,20,16888,0,6679,4448,1939,518,74,0,97,0,3,0,Non,4,3,10-15 ans,32,5,5,Plus de 15 ans,7,2,HD,0.95,5.35,0.33,0.64,2.01,9.99
